Name,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration (in mins),Rating,Genre,Director,Cast,Rank
Are You Human Too?,"Jun 4, 2018 - Aug 7, 2018",2018,KBS2,"Monday, Tuesday",36,35,8.3,"Comedy, Romance, Sci-Fi, Fantasy",Cha Young Hoon,"Seo Kang Joon, Gong Seung Yeon, Lee Joon Hyuk, Park Hwan Hee, Kim Sung Ryung, Yoo Oh Sung",#211
Run On,"Dec 16, 2020 - Feb 4, 2021",2020,"jTBC, Netflix","Wednesday, Thursday",16,70,8.3,"Romance, Life, Drama, Sports",Lee Jae Hoon,"Yim Si Wan, Shin Se Kyung, Choi Soo Young, Kang Tae Oh, Park Young Gyu, Cha Hwa Yun",#212
The Smile Has Left Your Eyes,"Oct 3, 2018 - Nov 22, 2018",2018,tvN,"Thursday, Wednesday",16,64,8.3,"Thriller, Mystery, Romance, Drama",Yoo Je Won,"Seo In Guk, Jung So Min, Park Sung Woong, Seo Eun Soo, Go Min Si, Jang Young Nam",#213
Team Bulldog: Off-duty Investigation,"May 23, 2020 - Jun 28, 2020",2020,OCN,"Saturday, Sunday",12,70,8.3,"Action, Mystery, Comedy, Drama",Kang Hyo Jin,"Cha Tae Hyun, Lee Sun Bin, Jung Sang Hoon, Yoon Gyung Ho, Ji Seung Hyun, Im Chul Hyung",#214
The Guardians,"May 22, 2017 - Jul 11, 2017",2017,MBC,"Monday, Tuesday",32,35,8.3,"Action, Thriller, Mystery, Law, Crime","Song Hyung Suk, Park Seung Woo","Lee Si Young, Kim Young Kwang, Kim Tae Hoon, Kim Seul Gi, Key, Choi Moo Sung",#215
Terius Behind Me,"Sep 27, 2018 - Nov 15, 2018",2018,MBC,"Wednesday, Thursday",32,35,8.3,"Action, Mystery, Comedy, Romance","Park Sang Hoon, Park Sang Woo","So Ji Sub, Jung In Sun, Son Ho Jun, Im Se Mi, Kim Gun Woo, Ok Ye Rin",#216
Hyena,"Feb 21, 2020 - Apr 11, 2020",2020,"Netflix, SBS","Friday, Saturday",16,70,8.3,"Mystery, Comedy, Law, Romance",Jang Tae Yoo,"Joo Ji Hoon, Kim Hye Soo, Lee Kyung Young, Kim Ho Jung, Song Young Kyu, Jun Suk Ho",#217
Touch Your Heart,"Feb 6, 2019 - Mar 28, 2019",2019,tvN,"Wednesday, Thursday",16,70,8.3,"Comedy, Law, Romance, Drama",Park Joon Hwa,"Lee Dong Wook, Yoo In Na, Lee Sang Woo, Son Sung Yoon, Oh Jung Se, Shim Hyung Tak",#218
Angry Mom,"Mar 18, 2015 - May 7, 2015",2015,MBC,"Wednesday, Thursday",16,70,8.3,"Comedy, Drama, Melodrama",Ashbun,"Kim Hee Sun, Kim Yoo Jung, Ji Hyun Woo, Kim Ji Soo, Baro, Kim Tae Hoon",#219
Welcome 2 Life,"Aug 5, 2019 - Sep 24, 2019",2019,MBC,"Monday, Tuesday",32,35,8.3,"Comedy, Law, Romance, Fantasy","Kim Keun Hong, Shim So Yeon","Rain, Im Ji Yeon, Kwak Shi Yang, Seo Hye Rin, Park Yoon Young, Son Byung Ho",#220
Suspicious Partner,"May 10, 2017 - Jul 13, 2017",2017,SBS,"Wednesday, Thursday",40,30,8.3,"Thriller, Comedy, Law, Romance",Park Seon Ho,"Ji Chang Wook, Nam Ji Hyun, Choi  Tae Joon, Kwon Na Ra, Dong Ha, Kim Ye Won",#221
Mine,"May 8, 2021 - Jun 27, 2021",2021,"Netflix, tvN","Saturday, Sunday",16,70,8.3,"Thriller, Mystery, Drama",Lee Na Jung,"Lee Bo Young, Kim Seo Hyung, Ok Ja Yeon, Lee Hyun Wook, Cha Hak Yeon, Jung Yi Seo",#222
When the Weather Is Fine,"Feb 24, 2020 - Apr 21, 2020",2020,"jTBC, Viki","Monday, Tuesday",16,60,8.3,"Romance, Life, Drama, Melodrama",Han Ji Seung,"Park Min Young, Seo Kang Joon, Lee Jae Wook, Kim Hwan Hee, Moon Jung Hee, Im Se Mi",#223
Lawless Lawyer,"May 12, 2018 - Jul 1, 2018",2018,tvN,"Saturday, Sunday",16,66,8.3,"Action, Thriller, Law, Romance",Kim Jin Min,"Lee Joon Gi, Seo Yea Ji, Lee Hye Young, Choi Min Soo, Lee Ro Woon, Lee Dae Yeon",#224
Crazy Love,"Mar 7, 2022 - Apr 26, 2022",2022,KBS2,"Monday, Tuesday",16,65,8.3,"Comedy, Romance, Drama",Kim Jung Hyun,"Kim Jae Wook, Krystal Jung, Ha Joon, Yoo In Young, Im Won Hee, Park Han Sol",#225
WATCHER,"Jul 6, 2019 - Aug 25, 2019",2019,OCN,"Saturday, Sunday",16,65,8.3,"Thriller, Mystery, Drama, Political",Ahn Gil Ho,"Seo Kang Joon, Han Seok Kyu, Kim Hyun Joo, Park Joo Hee, Heo Sung Tae, Joo Jin Mo",#226
